ean;locale;title;description;category;colour;manufacturer;picture;material;size
4000000000001;de-DE;Sony Bluetooth Monitor;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;Sony;https://example.com/products/0001.jpg;Glas;standard
4000000000002;de-DE;Philips Bluetooth Monitor;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;Philips;https://example.com/products/0002.jpg;Kunststoff;compact
4000000000003;de-DE;Anker durable Smart Plug portable;High-quality electronics product with practical features and a clean user experience.;Electronics;Blau;Anker;https://example.com/products/0003.jpg;Aluminium;compact
4000000000004;de-DE;Philips mini Monitor;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Weiß;Philips;https://example.com/products/0004.jpg;Aluminium;compact
4000000000005;de-DE;Sony mini Wireless Headphones;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Weiß;Sony;https://example.com/products/0005.jpg;Aluminium;large
4000000000006;de-DE;Sony portable Tablet;High-quality electronics product with practical features and a clean user experience.;Electronics;Blau;Sony;https://example.com/products/0006.jpg;Aluminium;large
4000000000007;de-DE;Anker Bluetooth Speaker with smart;Smart device with reliable performance, modern connectivity, and everyday convenience. Available in weiß with kunststoff details and smart features.;Electronics;Weiß;Anker;https://example.com/products/0007.jpg;Kunststoff;compact
4000000000008;de-DE;JBL intelligent Wireless Headphones energy-saving;High-quality electronics product with practical features and a clean user experience.;Electronics;Weiß;JBL;https://example.com/products/0008.jpg;Kunststoff;large
4000000000009;de-DE;Anker intelligent Wireless Headphones energy-saving;High-quality electronics product with practical features and a clean user experience.;Electronics;Silber;Anker;https://example.com/products/0009.jpg;Aluminium;standard
4000000000010;de-DE;JBL durable Tablet smart;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;JBL;https://example.com/products/0010.jpg;Kunststoff;compact
4000000000011;de-DE;JBL Air Fryer with energy-saving;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Silber;JBL;https://example.com/products/0011.jpg;Glas;standard
4000000000012;de-DE;premium Air Fryer for home entertainment;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Blau;Dyson;https://example.com/products/0012.jpg;Aluminium;large
4000000000013;de-DE;Samsung mini Vacuum;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Schwarz;Samsung;https://example.com/products/0013.jpg;Kunststoff;large
4000000000014;de-DE;Philips Wireless Headphones with portable;High-quality electronics product with practical features and a clean user experience. Available in blau with aluminium details and portable features.;Electronics;Blau;Philips;https://example.com/products/0014.jpg;Aluminium;large
4000000000015;de-DE;JBL compact Vacuum smart;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;JBL;https://example.com/products/0015.jpg;Aluminium;standard
4000000000016;de-DE;Sony Bluetooth Monitor;High-quality electronics product with practical features and a clean user experience.;Electronics;Weiß;Sony;https://example.com/products/0016.jpg;Glas;large
4000000000017;de-DE;JBL mini Tablet;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Grau;JBL;https://example.com/products/0017.jpg;Kunststoff;compact
4000000000018;de-DE;Sony sleek Bluetooth Speaker mini;High-quality electronics product with practical features and a clean user experience.;Electronics;Schwarz;Sony;https://example.com/products/0018.jpg;Glas;standard
4000000000019;de-DE;Lenovo Air Fryer with Bluetooth;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Blau;Lenovo;https://example.com/products/0019.jpg;Kunststoff;standard
4000000000020;de-DE;JBL Bluetooth Speaker with Bluetooth;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Grau;JBL;https://example.com/products/0020.jpg;Glas;standard
4000000000021;de-DE;Anker intelligent Bluetooth Speaker energy-saving;Smart device with reliable performance, modern connectivity, and everyday convenience. Available in blau with kunststoff details and energy-saving features.;Electronics;Blau;Anker;https://example.com/products/0021.jpg;Kunststoff;compact
4000000000022;de-DE;Samsung intelligent Monitor wireless;High-quality electronics product with practical features and a clean user experience.;Electronics;Weiß;Samsung;https://example.com/products/0022.jpg;Kunststoff;large
4000000000023;de-DE;Lenovo Monitor with 4K;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Silber;Lenovo;https://example.com/products/0023.jpg;Aluminium;standard
4000000000024;de-DE;Philips 4K Bluetooth Speaker;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Grau;Philips;https://example.com/products/0024.jpg;Glas;compact
4000000000025;de-DE;premium Vacuum for home entertainment;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Silber;Anker;https://example.com/products/0025.jpg;Glas;standard
4000000000026;de-DE;Sony energy-saving TV;Smart device with reliable performance, modern connectivity, and everyday convenience.;Electronics;Grau;Sony;https://example.com/products/0026.jpg;Glas;compact
4000000000027;de-DE;LG modern Monitor mini;Designed for fast setup, clear output, and long-lasting use in the home or office.;Electronics;Grau;LG;https://example.com/products/0027.jpg;Aluminium;standard
4000000000028;de-DE;intelligent Wireless Headphones for home entertainment;Smart device with reliable performance, modern connectivity, and everyday convenience. Available in grau with aluminium details and smart features.;Electronics;Grau;Samsung;https://example.com/products/0028.jpg;Aluminium;standard
4000000000029;de-DE;Anker energy-saving TV;High-quality electronics product with practical features and a clean user experience.;Electronics;Weiß;Anker;https://example.com/products/0029.jpg;Kunststoff;compact
4000000000030;de-DE;Lenovo portable TV;High-quality electronics product with practical features and a clean user experience.;Electronics;Blau;Lenovo;https://example.com/products/0030.jpg;Glas;compact
